nesta-5,2019-03-16 03:45:09.324497,16,83,6,9,50,8,1
nesta-2,2019-03-16 03:45:09.975442,17,45,6,9,49,8,1
nesta-6,2019-03-16 03:45:12.641182,14,16,3,3,14,7,2
nesta-1,2019-03-16 03:45:17.715094,15,70,6,9,55,8,1
nesta-5,2019-03-16 04:00:10.858500,16,84,6,8,54,8,1
nesta-2,2019-03-16 04:00:10.880388,17,45,6,9,46,8,1
nesta-6,2019-03-16 04:00:13.663104,14,16,2,2,11,7,2
nesta-4,2019-03-16 04:00:19.453842,16,62,6,9,56,8,1
nesta-1,2019-03-16 04:00:20.174187,15,64,6,8,51,8,1
nesta-2,2019-03-16 04:15:09.410224,17,45,6,8,45,8,1
nesta-6,2019-03-16 04:15:12.122313,14,16,2,2,11,7,2
nesta-4,2019-03-16 04:15:16.251159,16,70,6,9,55,8,1
nesta-1,2019-03-16 04:15:16.380267,15,71,6,8,51,8,1
nesta-5,2019-03-16 04:30:09.189423,16,84,7,9,63,8,1
nesta-6,2019-03-16 04:30:12.229684,14,16,2,2,10,7,2
nesta-4,2019-03-16 04:30:16.641747,16,70,6,9,58,8,1
nesta-6,2019-03-16 04:45:13.018111,14,16,2,2,10,7,2
nesta-4,2019-03-16 04:45:16.140347,16,63,8,11,87,8,1
nesta-1,2019-03-16 04:45:22.032930,15,65,6,9,54,8,1
nesta-5,2019-03-16 05:00:11.214654,16,84,7,9,61,8,1
nesta-2,2019-03-16 05:00:12.404091,16,46,6,10,52,8,1
nesta-6,2019-03-16 05:00:14.422898,14,16,2,2,10,7,2
nesta-4,2019-03-16 05:00:20.317922,16,63,7,10,66,8,1
nesta-5,2019-03-16 05:15:09.642713,16,72,7,9,57,8,1
nesta-6,2019-03-16 05:15:12.330477,14,16,2,2,10,7,2
nesta-4,2019-03-16 05:15:16.148441,16,63,7,10,62,8,1
nesta-1,2019-03-16 05:15:16.417337,15,65,6,10,60,8,1
nesta-5,2019-03-16 05:30:09.057991,17,70,7,10,57,8,1
nesta-2,2019-03-16 05:30:11.571913,17,45,7,10,54,8,1
nesta-6,2019-03-16 05:30:11.918694,14,16,2,2,10,7,2
nesta-4,2019-03-16 05:30:16.578421,16,61,7,11,68,8,1
nesta-1,2019-03-16 05:30:17.606795,15,63,7,10,62,8,1
nesta-2,2019-03-16 05:45:09.147485,17,45,7,11,58,8,1
nesta-5,2019-03-16 05:45:09.653422,17,77,7,10,58,8,1
nesta-6,2019-03-16 05:45:12.558278,14,16,2,2,10,7,2
nesta-4,2019-03-16 05:45:16.266478,16,95,8,12,72,8,1
nesta-1,2019-03-16 05:45:18.090861,16,63,7,11,64,8,1
nesta-5,2019-03-16 06:00:09.973642,16,89,8,11,61,8,1
nesta-2,2019-03-16 06:00:10.584144,17,45,8,12,64,8,1
nesta-6,2019-03-16 06:00:13.876725,14,16,2,2,11,7,2
nesta-4,2019-03-16 06:00:19.532590,16,67,8,13,81,8,1
nesta-1,2019-03-16 06:00:20.456870,15,63,8,12,71,8,1
nesta-5,2019-03-16 06:15:09.485786,17,94,8,11,60,8,1
nesta-6,2019-03-16 06:15:12.462124,14,16,2,2,11,7,2
nesta-1,2019-03-16 06:15:16.404822,15,70,8,12,74,8,1
nesta-4,2019-03-16 06:15:16.520819,16,74,8,13,79,8,1
nesta-5,2019-03-16 06:30:13.256627,17,91,7,10,58,8,1
nesta-6,2019-03-16 06:30:14.513066,14,16,2,2,10,7,2
nesta-4,2019-03-16 06:30:18.311878,16,69,8,12,72,8,1
nesta-1,2019-03-16 06:30:19.063450,16,70,7,12,70,8,1
nesta-6,2019-03-16 06:45:11.574685,14,16,2,2,11,7,2
nesta-1,2019-03-16 06:45:17.901382,16,62,6,10,60,8,1
nesta-5,2019-03-16 07:00:10.011702,17,61,6,8,47,8,1
nesta-2,2019-03-16 07:00:11.110399,17,43,6,9,48,8,1
nesta-6,2019-03-16 07:00:12.944032,14,16,2,2,10,7,2
nesta-4,2019-03-16 07:00:18.976724,16,58,6,9,57,8,1
nesta-5,2019-03-16 07:15:09.207934,17,66,5,7,39,8,1
nesta-6,2019-03-16 07:15:11.782516,14,16,2,2,11,7,2
nesta-1,2019-03-16 07:15:15.680518,15,72,5,8,47,8,1
nesta-4,2019-03-16 07:15:15.939551,16,70,5,8,53,8,1
nesta-6,2019-03-16 07:30:12.553371,14,16,2,2,11,7,2
nesta-1,2019-03-16 07:30:18.428934,15,64,4,7,43,8,1
nesta-5,2019-03-16 07:45:09.149653,17,85,4,6,34,8,1
nesta-6,2019-03-16 07:45:11.418767,14,16,2,2,11,7,2
nesta-4,2019-03-16 07:45:16.526795,16,75,4,6,44,8,1
nesta-1,2019-03-16 07:45:19.156354,16,64,4,6,37,8,1
nesta-2,2019-03-16 08:00:10.056719,17,40,3,5,30,8,1
nesta-5,2019-03-16 08:00:12.286982,17,66,4,5,33,8,1
nesta-6,2019-03-16 08:00:13.076233,15,16,2,2,11,7,2
nesta-4,2019-03-16 08:00:18.399266,16,81,3,5,34,8,1
nesta-1,2019-03-16 08:00:19.409009,16,74,4,5,38,8,1
nesta-5,2019-03-16 08:15:08.624704,17,65,3,5,29,8,1
nesta-2,2019-03-16 08:15:09.277023,17,40,4,5,29,8,1
nesta-6,2019-03-16 08:15:11.723463,14,16,2,2,10,7,2
nesta-4,2019-03-16 08:15:15.444745,16,56,5,7,49,8,1
nesta-1,2019-03-16 08:15:15.786882,16,58,3,5,32,8,1
nesta-5,2019-03-16 08:30:09.185831,17,88,4,6,37,8,1
nesta-6,2019-03-16 08:30:12.018824,15,16,2,2,10,7,2
nesta-4,2019-03-16 08:30:16.615765,16,66,7,9,81,8,1
nesta-1,2019-03-16 08:30:16.714909,16,62,4,7,42,8,1
nesta-5,2019-03-16 08:45:09.455420,17,86,5,7,41,8,1
nesta-6,2019-03-16 08:45:12.145544,14,16,2,2,10,7,2
nesta-4,2019-03-16 08:45:16.391498,16,70,8,10,80,8,1
nesta-1,2019-03-16 08:45:17.115804,15,72,6,8,53,8,1
nesta-2,2019-03-16 09:00:10.951571,17,45,5,7,40,8,1
nesta-6,2019-03-16 09:00:12.663030,14,15,2,2,9,7,2
nesta-1,2019-03-16 09:00:19.123412,15,77,5,7,46,8,1
nesta-5,2019-03-16 09:15:09.232068,16,94,5,7,43,8,1
nesta-6,2019-03-16 09:15:11.449841,14,15,2,2,9,7,2
nesta-4,2019-03-16 09:15:15.901594,16,63,6,8,54,8,1
nesta-1,2019-03-16 09:15:17.129965,15,71,5,8,48,8,1
nesta-5,2019-03-16 09:30:09.532755,16,65,7,9,66,8,1
nesta-2,2019-03-16 09:30:09.767663,17,45,6,8,48,8,1
nesta-6,2019-03-16 09:30:11.791022,14,15,2,2,9,7,2
nesta-4,2019-03-16 09:30:16.821708,15,69,6,9,55,8,1
nesta-5,2019-03-16 09:45:09.219311,16,99,6,8,55,8,1
nesta-2,2019-03-16 09:45:09.706768,17,43,5,8,46,8,1
nesta-6,2019-03-16 09:45:11.873837,14,15,2,2,8,7,2
nesta-2,2019-03-16 10:00:10.216527,17,42,5,7,40,8,1
nesta-5,2019-03-16 10:00:10.588929,16,79,5,7,43,8,1
nesta-6,2019-03-16 10:00:13.840619,14,15,2,2,9,7,2
nesta-4,2019-03-16 10:00:19.473533,16,66,8,10,91,8,1
nesta-1,2019-03-16 10:00:20.115260,15,82,5,7,46,8,1
nesta-2,2019-03-16 10:15:09.164326,17,42,5,7,39,8,1
nesta-6,2019-03-16 10:15:11.815534,14,15,2,2,8,7,2
nesta-1,2019-03-16 10:15:16.527401,15,78,4,7,41,8,1
nesta-2,2019-03-16 10:30:09.810434,17,41,4,6,35,8,1
nesta-6,2019-03-16 10:30:11.815880,14,15,2,2,8,7,2
nesta-4,2019-03-16 10:30:16.151936,16,64,4,7,41,8,1
nesta-1,2019-03-16 10:30:17.700141,16,78,4,6,39,8,1
nesta-5,2019-03-16 10:45:09.908886,16,99,5,7,42,8,1
nesta-2,2019-03-16 10:45:11.221099,18,40,5,7,40,8,1
nesta-6,2019-03-16 10:45:11.884230,14,15,2,2,9,7,2
nesta-4,2019-03-16 10:45:16.790243,16,64,6,9,60,8,1
nesta-5,2019-03-16 11:00:10.179895,17,86,5,7,40,8,1
nesta-2,2019-03-16 11:00:10.590517,18,41,5,7,44,8,1
nesta-6,2019-03-16 11:00:12.623919,15,15,2,2,8,7,2
nesta-1,2019-03-16 11:00:19.745274,16,67,5,8,49,8,1
nesta-4,2019-03-16 11:00:20.098969,16,58,6,9,53,8,1
nesta-6,2019-03-16 11:15:11.752906,15,15,2,2,8,7,2
nesta-4,2019-03-16 11:15:15.194260,16,72,6,10,61,8,1
nesta-1,2019-03-16 11:15:17.443203,16,72,6,9,59,8,1
nesta-5,2019-03-16 11:30:08.665924,16,85,6,9,49,8,1
nesta-6,2019-03-16 11:30:12.261195,15,15,2,2,9,7,2
nesta-1,2019-03-16 11:30:16.708972,16,68,7,10,71,8,1
nesta-4,2019-03-16 11:30:16.988194,16,66,7,10,62,8,1
nesta-5,2019-03-16 11:45:09.163086,16,75,8,11,63,8,1
nesta-2,2019-03-16 11:45:11.341118,17,43,8,11,61,8,1
nesta-6,2019-03-16 11:45:12.783505,15,15,2,2,9,7,2
nesta-4,2019-03-16 11:45:16.781379,16,59,8,12,78,8,1
nesta-1,2019-03-16 11:45:17.475303,16,68,8,12,72,8,1
nesta-5,2019-03-16 12:00:10.286207,17,69,8,11,64,8,1
nesta-2,2019-03-16 12:00:11.091800,17,42,8,11,65,8,1
nesta-6,2019-03-16 12:00:13.106667,15,15,2,2,10,7,2
nesta-4,2019-03-16 12:00:18.994311,16,71,9,13,83,8,1
nesta-1,2019-03-16 12:00:20.469232,15,94,8,12,71,8,1
nesta-2,2019-03-16 12:15:09.266147,18,42,8,12,65,8,1
nesta-5,2019-03-16 12:15:09.448459,16,82,8,11,63,8,1
nesta-6,2019-03-16 12:15:11.954808,15,15,2,2,10,7,2
nesta-1,2019-03-16 12:15:16.924673,15,75,8,12,73,8,1
nesta-5,2019-03-16 12:30:08.952945,16,81,8,11,66,8,1
nesta-6,2019-03-16 12:30:12.012468,15,15,2,3,12,7,2
nesta-4,2019-03-16 12:30:15.781296,16,85,9,13,86,8,1
nesta-1,2019-03-16 12:30:17.154655,15,69,9,13,81,8,1
nesta-5,2019-03-16 12:45:09.491951,17,59,7,10,58,8,1
nesta-2,2019-03-16 12:45:10.151967,18,40,8,11,63,8,1
nesta-6,2019-03-16 12:45:12.628257,15,15,2,3,12,7,2
nesta-4,2019-03-16 12:45:16.616624,16,83,8,12,80,8,1
nesta-1,2019-03-16 12:45:17.298832,15,65,7,11,71,8,1
nesta-5,2019-03-16 13:00:10.037714,16,87,9,12,73,8,1
nesta-2,2019-03-16 13:00:10.616775,18,41,11,15,101,8,1
nesta-6,2019-03-16 13:00:13.391645,15,15,2,3,13,7,2
nesta-4,2019-03-16 13:00:18.698908,16,64,9,14,90,8,1
nesta-1,2019-03-16 13:00:18.910217,15,80,10,14,96,8,1
nesta-5,2019-03-16 13:15:09.363469,17,62,10,13,80,8,1
nesta-6,2019-03-16 13:15:11.458031,16,15,2,3,12,7,2
nesta-4,2019-03-16 13:15:15.704336,16,59,10,15,94,8,1
nesta-1,2019-03-16 13:15:17.270734,15,69,10,14,88,8,1
nesta-5,2019-03-16 13:30:08.851072,17,74,8,11,72,8,1
nesta-2,2019-03-16 13:30:09.309231,18,41,9,12,80,8,1
nesta-6,2019-03-16 13:30:11.631958,15,15,2,3,13,7,2
nesta-4,2019-03-16 13:30:16.228866,16,71,9,13,85,8,1
nesta-1,2019-03-16 13:30:16.635540,15,84,8,12,76,8,1
nesta-5,2019-03-16 13:45:09.283097,16,69,10,13,88,8,1
nesta-2,2019-03-16 13:45:09.953058,18,48,10,14,83,8,1
nesta-6,2019-03-16 13:45:12.045972,16,15,2,3,14,7,2
nesta-4,2019-03-16 13:45:16.498597,16,78,11,16,103,8,1
nesta-1,2019-03-16 13:45:17.306933,15,86,10,15,91,8,1
nesta-2,2019-03-16 14:00:10.605538,18,43,9,12,73,8,1
nesta-5,2019-03-16 14:00:12.219512,16,85,8,11,68,8,1
nesta-6,2019-03-16 14:00:14.192414,16,15,3,3,15,7,2
nesta-4,2019-03-16 14:00:19.142732,16,69,9,13,87,8,1
nesta-2,2019-03-16 14:15:08.894189,18,42,10,14,86,8,1
nesta-6,2019-03-16 14:15:12.112939,16,15,3,3,15,7,2
nesta-4,2019-03-16 14:15:16.016064,16,60,10,15,97,8,1
nesta-1,2019-03-16 14:15:17.058324,15,63,10,15,91,8,1
nesta-5,2019-03-16 14:30:09.161630,16,88,10,15,86,8,1
nesta-2,2019-03-16 14:30:09.286869,18,42,13,18,115,8,1
nesta-6,2019-03-16 14:30:12.204528,16,15,3,3,15,7,2
nesta-4,2019-03-16 14:30:16.042665,16,78,12,18,113,8,1
nesta-5,2019-03-16 14:45:09.740373,16,83,10,14,78,8,1
nesta-2,2019-03-16 14:45:10.173925,17,42,11,15,88,8,1
nesta-6,2019-03-16 14:45:11.357044,16,15,3,3,16,7,2
nesta-4,2019-03-16 14:45:17.284557,16,66,10,16,100,8,1
nesta-1,2019-03-16 14:45:17.508829,15,62,10,15,93,8,1
nesta-5,2019-03-16 15:00:12.309193,16,78,9,14,79,8,1
nesta-6,2019-03-16 15:00:13.097974,16,15,3,3,17,7,2
nesta-4,2019-03-16 15:00:19.049102,16,85,11,16,100,8,1
nesta-1,2019-03-16 15:00:19.323610,15,87,10,15,97,8,1
nesta-2,2019-03-16 15:15:09.268046,17,42,12,16,95,8,1
nesta-5,2019-03-16 15:15:09.662696,16,79,10,15,84,8,1
nesta-6,2019-03-16 15:15:12.240075,16,15,3,4,18,7,2
nesta-1,2019-03-16 15:15:16.950559,15,75,11,16,101,8,1
nesta-4,2019-03-16 15:15:17.911997,16,92,11,17,108,8,1
nesta-2,2019-03-16 15:30:08.946900,17,43,12,17,95,8,1
nesta-5,2019-03-16 15:30:09.021457,15,86,11,16,89,8,1
nesta-6,2019-03-16 15:30:11.694299,16,15,3,4,18,7,2
nesta-1,2019-03-16 15:30:16.459687,15,69,11,17,105,8,1
nesta-4,2019-03-16 15:30:16.724771,16,67,12,18,114,8,1
nesta-5,2019-03-16 15:45:09.165162,15,100,10,15,86,8,1
nesta-2,2019-03-16 15:45:09.435682,17,43,11,15,86,8,1
nesta-6,2019-03-16 15:45:12.010357,16,15,3,4,19,7,2
